section,entity,sub_entity,metric,value,unit,extra_info,timestamp

Overview Metrics,Students on Campus,,count,369,students,Across all spaces,
Overview Metrics,Staff Present,,count,45,staff,16% of total,
Overview Metrics,Active Events,,count,68,events,Detected today,
Overview Metrics,Space Utilization,,utilization,67,percent,1 underutilized,
Overview Metrics,Gate Entries Today,,count,2602,entries,3 gates need coverage,

AI Detected Patterns,Main Cafeteria,,severity,HIGH,,Occupancy at 98% capacity,2 minutes ago
AI Detected Patterns,Building B Entrance,,severity,MEDIUM,,No security guard coverage,8 minutes ago
AI Detected Patterns,Corridor A-Main,,severity,LOW,,High usage cleaning recommended,15 minutes ago

Events by Type,Running,,count,28,events,,
Events by Type,Crowd Gathering,,count,21,events,,
Events by Type,Overcrowding,,count,14,events,,
Events by Type,Loitering,,count,9,events,,
Events by Type,Unauthorized Access,,count,5,events,,

Space Utilization,Classroom A101,,occupancy,29/30,percent,93% utilized,
Space Utilization,Classroom A102,,occupancy,16/30,percent,50% utilized,
Space Utilization,Building A Main Corridor,,occupancy,51/80,percent,64% utilized,
Space Utilization,Main Cafeteria,,occupancy,132/200,percent,66% utilized,
Space Utilization,Library Reading Area,,occupancy,43/60,percent,70% utilized,

Security & Access Control,Main Gate,,guards,2/2,status,covered,
Security & Access Control,Building A Entrance,,guards,1/1,status,covered,
Security & Access Control,Building B Entrance,,guards,0/1,status,uncovered,
Security & Access Control,Cafeteria Entrance,,guards,1/2,status,low-coverage,
Security & Access Control,Sports Complex Entrance,,guards,1/1,status,covered,

Cleaning Compliance,Building A,,compliance,92,percent,,
Cleaning Compliance,Building B,,compliance,88,percent,,
Cleaning Compliance,Cafeteria,,compliance,91,percent,,
Cleaning Compliance,Library,,compliance,95,percent,,
Cleaning Compliance,Sports Complex,,compliance,84,percent,,

Camera Network Status,Main Gate,,cameras_active,2,count,online,
Camera Network Status,Building A,,cameras_active,4,count,online,
Camera Network Status,Building B,,cameras_active,3,count,online,
Camera Network Status,Cafeteria,,cameras_active,3,count,online,
Camera Network Status,Library,,cameras_active,3,count,online,
Camera Network Status,Sports Complex,,cameras_active,2,count,online,
Camera Network Status,Washroom Block A,,cameras_active,1,count,online,
Camera Network Status,Washroom Block B,,cameras_active,1,count,online,
Camera Network Status,Administrative Block,,cameras_active,2,count,online,
